No,Classification,label,notation,easting,northing,lat,long,easting_count,northing_count,coordinate,wiskiID,dateOpened,datum,boreholeDepth,aquifer,dipped,logged,amount_dipped,start_dipped,end_dipped,amount_logged,start_logged,end_logged,CHARACTER,FLOW_MECHA,Elevation,distance,Top aquifer
2809,No trend,West End Cottage,20673cda-5b8d-4798-82e4-f5a969888437,403410,164286,51.377612,-1.952387,1,1,,90106116,3/10/1992,,,,http://environment.data.gov.uk/hydrology/id/measures/20673cda-5b8d-4798-82e4-f5a969888437-gw-dipped-i-mAOD-qualified,,364,3/10/1992,1/19/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,139.2126923,5819.358724,Lower Greensand
2810,No trend,Charity Farm,1f9b2082-1958-4859-9fe9-b86acf0f3902,426375,296995,52.570135,-1.61228,1,1,,1218GW,5/24/1974,128.96,,,http://environment.data.gov.uk/hydrology/id/measures/1f9b2082-1958-4859-9fe9-b86acf0f3902-gw-dipped-i-mAOD-qualified,,760,5/24/1974,9/15/2022,,,,Moderately productive aquifer,Flow is virtually all through fractures and other discontinuities,128.2364197,2609.921688,#N/A
2811,No trend,Braimber Lane,72811d35-8702-4a40-b265-72aa8520fa49,440545,462323,54.05526,-1.382139,1,1,,SE46BBL0SS,4/16/1976,48.64,,SS,http://environment.data.gov.uk/hydrology/id/measures/72811d35-8702-4a40-b265-72aa8520fa49-gw-dipped-i-mAOD-qualified,,530,4/16/1976,12/20/2023,,,,Highly productive aquifer,Significant intergranular flow,48.75991058,441.7139154,Triassic sandstones
2812,No trend,Houghton Common,99d36bd5-e668-48a2-a823-60dde123ffef,587386,305276,52.612914,0.766292,1,1,,TF80_002,1/11/1971,73.25,,,http://environment.data.gov.uk/hydrology/id/measures/99d36bd5-e668-48a2-a823-60dde123ffef-gw-dipped-i-mAOD-qualified,,529,1/11/1971,6/8/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,73.35398102,57776.26982,Chalk
2813,,Brink Hill,7e663e79-6b2c-42b6-bc81-7c421af968c6,576366,321253,52.760079,0.612267,1,1,,TF72_002,3/3/1971,84.54,,,http://environment.data.gov.uk/hydrology/id/measures/7e663e79-6b2c-42b6-bc81-7c421af968c6-gw-dipped-i-mAOD-qualified,,3217,3/3/1971,6/13/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,84.43800354,49443.41968,Chalk
2814,,BAE Systems,4583f0db-6b9a-4927-9b75-86d53cdbf876,356285,420815,53.681942,-2.663319,1,1,,SD52_17A,4/27/2005,63.4,167.64,Sherwood Sandstone,,http://environment.data.gov.uk/hydrology/id/measures/4583f0db-6b9a-4927-9b75-86d53cdbf876-gw-logged-i-subdaily-mAOD-qualified,,,,104459,4/27/2005,9/18/2023,Highly productive aquifer,Significant intergranular flow,64.00308228,845.4008312,Triassic sandstones
2815,No trend,Robins Lodge,28aee684-566e-41ac-900d-f1e2cd0329e8,586345,296271,52.532412,0.745877,1,1,,TL89_018,5/23/2014,35.43,,,http://environment.data.gov.uk/hydrology/id/measures/28aee684-566e-41ac-900d-f1e2cd0329e8-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/28aee684-566e-41ac-900d-f1e2cd0329e8-gw-logged-i-subdaily-mAOD-qualified,422,6/1/1977,3/16/2020,50972,5/23/2014,3/16/2020,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,34.97203064,57429.582,Chalk
2816,Slow decreasing,Chishill Street,3996b5cd-66e8-4369-892d-bce8da259516,542238,239936,52.039578,0.072387,1,1,,TL43_032,9/25/1978,118.08,,,http://environment.data.gov.uk/hydrology/id/measures/3996b5cd-66e8-4369-892d-bce8da259516-gw-dipped-i-mAOD-qualified,,454,9/25/1978,1/5/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,91.76107788,52960.47388,Chalk
2817,Slow decreasing,Moor Farm,62c08ded-3eef-4880-9c27-390750357ec7,576321,332816,52.86393,0.617835,1,1,,TF73_117,8/16/1994,57.92,,,http://environment.data.gov.uk/hydrology/id/measures/62c08ded-3eef-4880-9c27-390750357ec7-gw-dipped-i-mAOD-qualified,,294,8/16/1994,1/5/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,57.33246613,54276.8379,Chalk
2818,No trend,Frith Cottage,36ea6843-3b75-425a-b9bb-97c536fd89ea,491690,138410,51.137626,-0.690814,1,1,,SU93_3,7/19/1970,118.72,28,Lower Greensand,http://environment.data.gov.uk/hydrology/id/measures/36ea6843-3b75-425a-b9bb-97c536fd89ea-gw-dipped-i-mAOD-qualified,,1515,7/19/1970,1/29/2024,,,,Highly productive aquifer,Significant intergranular flow,118.4669037,14083.18534,Lower Greensand
2819,No trend,Whitegates,fe2ec3f4-1e3c-46e9-be1f-3925c9a6d623,363425,322585,52.799566,-2.543909,1,1,,2079GW,10/19/1972,62.5,,,http://environment.data.gov.uk/hydrology/id/measures/fe2ec3f4-1e3c-46e9-be1f-3925c9a6d623-gw-dipped-i-mAOD-qualified,,473,10/19/1972,10/31/2023,,,,Highly productive aquifer,Significant intergranular flow,64.43247986,1381.38238,Permian Sandstones
2820,No trend,Walshford Limestone,fdf83b09-4dc3-47c2-ac78-0847fd65fd63,441224,453303,53.974143,-1.372987,1,1,,SE45WFL0ML,1/12/1987,23.28,,ML,http://environment.data.gov.uk/hydrology/id/measures/fdf83b09-4dc3-47c2-ac78-0847fd65fd63-gw-dipped-i-mAOD-qualified,,417,1/12/1987,12/21/2023,,,,Highly productive aquifer,Significant intergranular flow,22.72541428,832.8623333,Triassic sandstones
2821,Slow decreasing,Well House Inn,6249390b-d347-4b73-b757-3de83e2c971d,525838,155251,51.282504,-0.197046,1,1,,TQ25_13,1874-11-01,132.27,,,http://environment.data.gov.uk/hydrology/id/measures/6249390b-d347-4b73-b757-3de83e2c971d-gw-dipped-i-mAOD-qualified,,2600,1874-11-01,2/1/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,130.9167938,11192.67247,Chalk
2822,No trend,Woodside Quendon,14dae14f-e6d5-4eda-97f1-a55c3ed2e52b,552281,231059,51.957162,0.214756,1,1,,TL53_003,5/18/1962,68.7,,,http://environment.data.gov.uk/hydrology/id/measures/14dae14f-e6d5-4eda-97f1-a55c3ed2e52b-gw-dipped-i-mAOD-qualified,,641,5/18/1962,1/9/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,68.1957016,47903.83685,Lower Greensand
2823,Slow decreasing,Sezincote,e86a3a1a-877b-4da3-9d87-5ba5a79cadea,415895,231898,51.985308,-1.76995,1,1,,SP13_26,11/26/1976,267.3,65,Inferior Oolite,http://environment.data.gov.uk/hydrology/id/measures/e86a3a1a-877b-4da3-9d87-5ba5a79cadea-gw-dipped-i-mAOD-qualified,,284,11/26/1976,1/23/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,266.8812256,1079.623152,Oolites
2824,No trend,Pound Farm,7fce4260-9433-4071-b12e-1c735cd7e269,519232,227394,51.932288,-0.267208,1,1,,TL12_015,1/14/1980,74.44,,,http://environment.data.gov.uk/hydrology/id/measures/7fce4260-9433-4071-b12e-1c735cd7e269-gw-dipped-i-mAOD-qualified,,472,1/14/1980,1/5/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,74.07444763,33996.36188,Chalk
2825,,Heighington Station,1867fca2-a1f6-4a6d-ab38-d98ebc23ee55,427059,522541,54.597315,-1.582698,1,1,,25-3-82,7/8/1969,,,,http://environment.data.gov.uk/hydrology/id/measures/1867fca2-a1f6-4a6d-ab38-d98ebc23ee55-gw-dipped-i-mAOD-qualified,,960,7/8/1969,1/18/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,93.57558441,839.0251729,Magnesian Limestone
2826,No trend,Foxley 2,b3aa0f20-7f68-4fb1-b271-c69c14996e41,390310,185982,51.572616,-2.141205,1,1,,91498244,7/28/1976,,,,http://environment.data.gov.uk/hydrology/id/measures/b3aa0f20-7f68-4fb1-b271-c69c14996e41-gw-dipped-i-mAOD-qualified,,737,7/28/1976,1/19/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,76.36371613,6055.821376,Oolites
2827,,Shanklin County Ground,37fef6b5-0dff-470b-b07e-c73fb145de9c,458635,82775,50.641721,-1.172125,1,1,,40101074,9/28/1983,28.55,90,Lower Greensand Group (undivided),http://environment.data.gov.uk/hydrology/id/measures/37fef6b5-0dff-470b-b07e-c73fb145de9c-gw-dipped-i-mAOD-qualified,,347,9/28/1983,1/12/2024,,,,Highly productive aquifer,Significant intergranular flow,28.23934746,60112.70257,#N/A
2828,No trend,Snoddington Down,a8a153c4-3c0b-4000-a68e-b326f67b1c98,425455,145155,51.205039,-1.637012,2,1,,141806176,10/14/1964,116.13,33.2,Chalk Group (undivided),http://environment.data.gov.uk/hydrology/id/measures/a8a153c4-3c0b-4000-a68e-b326f67b1c98-gw-dipped-i-mAOD-qualified,,657,10/14/1964,1/22/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,113.838768,22975.10681,Chalk
2829,No trend,Turnpike Farm,fb3a7adf-ae40-4a9f-ad3f-55b3e4d5c6b7,504170,219760,51.866696,-0.488496,1,1,,TL01_2,7/2/1975,150.77,53.64,Chalk,http://environment.data.gov.uk/hydrology/id/measures/fb3a7adf-ae40-4a9f-ad3f-55b3e4d5c6b7-gw-dipped-i-mAOD-qualified,,505,7/2/1975,11/6/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,151.101059,26268.5999,Chalk
2830,No trend,High Street Farm,abf3ec06-5976-4c93-9e88-acbec6cff11d,442115,171205,51.438278,-1.395483,1,1,,SU47_24,7/30/1978,110.98,46,Chalk,http://environment.data.gov.uk/hydrology/id/measures/abf3ec06-5976-4c93-9e88-acbec6cff11d-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/abf3ec06-5976-4c93-9e88-acbec6cff11d-gw-logged-i-subdaily-mAOD-qualified,3815,7/30/1978,9/21/2023,180714,7/11/2001,3/14/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,111.0351028,31888.83671,Chalk
2831,Slow decreasing,Bircham Tofts,4e70b4a1-7389-422f-895a-f50ff21fc353,577954,332660,52.861992,0.64198,1,1,,TF73_007,9/13/1971,55.97,,,http://environment.data.gov.uk/hydrology/id/measures/4e70b4a1-7389-422f-895a-f50ff21fc353-gw-dipped-i-mAOD-qualified,,541,9/13/1971,4/30/2020,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,55.84300613,55518.36922,Chalk
2832,,Kenley Reach Thearne,28e8c86f-b348-4111-ba17-30cd14a76ff2,507285,437161,53.819651,-0.371792,1,1,,TA03KRT0RD,12/4/1980,2.82,,RD,http://environment.data.gov.uk/hydrology/id/measures/28e8c86f-b348-4111-ba17-30cd14a76ff2-gw-dipped-i-mAOD-qualified,,494,12/4/1980,1/19/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,1.746210933,13742.90989,Chalk
2833,No trend,Kilham,86f297ab-73f4-4537-b0bc-197a8f07c72f,506761,464214,54.062805,-0.370302,1,1,,TA06KSW0CC,1/22/1979,,,CC,http://environment.data.gov.uk/hydrology/id/measures/86f297ab-73f4-4537-b0bc-197a8f07c72f-gw-dipped-i-mAOD-qualified,,588,1/22/1979,12/12/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,23.34078217,9691.203429,Chalk
2834,Slow increasing,Spring Farm,5b557053-8510-4173-96eb-b8e89c07e766,470355,338015,52.934924,-0.95468,2,1,,1796GW,12/7/1978,32.76,,,http://environment.data.gov.uk/hydrology/id/measures/5b557053-8510-4173-96eb-b8e89c07e766-gw-dipped-i-mAOD-qualified,,488,12/7/1978,11/3/2023,,,,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,32.25617218,2307.221256,Triassic sandstones
2835,,Winwick Park,62504e98-cf4d-4496-a296-0030064a9ef4,360067,392619,53.428825,-2.60245,1,1,,SJ69_46,5/26/2006,20.48,,,,http://environment.data.gov.uk/hydrology/id/measures/62504e98-cf4d-4496-a296-0030064a9ef4-gw-logged-i-subdaily-mAOD-qualified,,,,173707,5/26/2006,9/19/2023,Highly productive aquifer,Significant intergranular flow,20.69081688,72.66636223,Triassic sandstones
2836,No trend,Bishops Offley,cc99f59e-0697-4d4b-b7c1-77935966a9c5,378355,329905,52.866176,-2.322962,1,1,,1030GW,5/23/1980,99.41,,,http://environment.data.gov.uk/hydrology/id/measures/cc99f59e-0697-4d4b-b7c1-77935966a9c5-gw-dipped-i-mAOD-qualified,,735,5/23/1980,1/23/2024,,,,Highly productive aquifer,Significant intergranular flow,110.3476868,1696.120965,Triassic sandstones
2837,Slow increasing,Calvesleys Farm,7ac8d47f-02a6-4bdd-a0db-e4604930b47c,456280,175344,51.474262,-1.191056,1,1,,SU57_159,1/1/1900,121.74,,Chalk,http://environment.data.gov.uk/hydrology/id/measures/7ac8d47f-02a6-4bdd-a0db-e4604930b47c-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/7ac8d47f-02a6-4bdd-a0db-e4604930b47c-gw-logged-i-subdaily-mAOD-qualified,1709,1/1/1900,11/28/2023,22701,8/4/2021,3/14/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,122.3483734,17133.15578,Chalk
2838,No trend,Brougham,8f7c8b93-5741-4958-859d-9e377abd7de8,354225,528415,54.648733,-2.710897,1,1,,NY52_3,8/28/1976,,,,http://environment.data.gov.uk/hydrology/id/measures/8f7c8b93-5741-4958-859d-9e377abd7de8-gw-dipped-i-mAOD-qualified,,228,8/28/1976,9/5/2023,,,,Moderately productive aquifer,Significant intergranular flow,118.9551697,1649.71728,Permian Sandstones
2839,Slow decreasing,Barton Hall,410eabe0-3dfd-4085-90fa-4c2578668735,352065,435765,53.81593,-2.72953,1,1,,SD53_10,1/2/1973,,45.72,Sherwood Sandstone,http://environment.data.gov.uk/hydrology/id/measures/410eabe0-3dfd-4085-90fa-4c2578668735-gw-dipped-i-mAOD-qualified,,349,1/2/1973,7/6/2020,,,,Highly productive aquifer,Significant intergranular flow,33.66140747,2465.425263,Triassic sandstones
2840,No trend,Tower Hills,c7f4863a-892f-4b89-a960-ad93aa7f945b,598710,321850,52.757691,0.943312,1,1,,TF92_816,4/24/1974,46.36,,,,http://environment.data.gov.uk/hydrology/id/measures/c7f4863a-892f-4b89-a960-ad93aa7f945b-gw-logged-i-subdaily-mAOD-qualified,,,,126989,4/24/1974,10/17/2023,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,46.86855698,71083.75473,Chalk
2841,No trend,Bank House,58acdb52-c346-4146-ae62-df1edd81e6ad_26114,342715,318805,52.763783,-2.850383,1,1,,26114,4/1/1993,71.4,,,,http://environment.data.gov.uk/hydrology/id/measures/58acdb52-c346-4146-ae62-df1edd81e6ad_26114-gw-logged-i-subdaily-mAOD-qualified,,,,212405,4/1/1993,3/1/2024,Highly productive aquifer,Significant intergranular flow,71.85779572,1688.403318,Permian Sandstones
2842,No trend,Bank House,58acdb52-c346-4146-ae62-df1edd81e6ad_2243GW,342215,318625,52.762112,-2.85776,1,1,,2243GW,8/11/1975,71.4,,,http://environment.data.gov.uk/hydrology/id/measures/58acdb52-c346-4146-ae62-df1edd81e6ad_2243GW-gw-dipped-i-mAOD-qualified,,424,8/11/1975,10/2/2023,,,,Highly productive aquifer,Significant intergranular flow,88.75117493,1461.775294,Permian Sandstones
2843,No trend,Waters Upton,527189b1-4aa3-425a-b6c3-791cf96b023f,363225,319295,52.769978,-2.546504,1,1,,0412GW,7/22/1976,56.98,,,http://environment.data.gov.uk/hydrology/id/measures/527189b1-4aa3-425a-b6c3-791cf96b023f-gw-dipped-i-mAOD-qualified,,550,7/22/1976,1/25/2024,,,,Highly productive aquifer,Significant intergranular flow,57.7231369,152.3276163,Permian Sandstones
2844,Sudden upward change,Shipstones Brewery,769e1029-fb18-4504-893a-e9141d48d320,455575,342015,52.972607,-1.173867,1,1,,1743GW,12/9/1963,37.23,,,http://environment.data.gov.uk/hydrology/id/measures/769e1029-fb18-4504-893a-e9141d48d320-gw-dipped-i-mAOD-qualified,,1158,12/9/1963,1/2/2024,,,,Highly productive aquifer,Significant intergranular flow,43.40319443,659.2827194,Triassic sandstones
2845,,Saxon Down,bbb2cf0d-6487-4bc7-85b2-7316a71e1286,543691,109911,50.870845,0.040768,1,1,,342620500,1/7/1977,33.33,167.94,Chalk Group (undivided),http://environment.data.gov.uk/hydrology/id/measures/bbb2cf0d-6487-4bc7-85b2-7316a71e1286-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/bbb2cf0d-6487-4bc7-85b2-7316a71e1286-gw-logged-i-subdaily-mAOD-qualified,390,1/7/1977,10/10/2023,225790,7/19/2001,1/29/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,32.91576385,5155.300265,Chalk
2846,Slow decreasing,Long Meadow,61df14e9-59cb-4d4e-a11a-84fa90665610,586994,269280,52.289819,0.740361,1,1,,TL86_169,6/3/1983,38.14,,,http://environment.data.gov.uk/hydrology/id/measures/61df14e9-59cb-4d4e-a11a-84fa90665610-gw-dipped-i-mAOD-qualified,,452,6/3/1983,1/2/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,38.26503754,67685.85316,Lower Greensand
2847,No trend,Spelsbury,1b59ba50-097b-4575-b29a-16cff6c9b69e,434975,221835,51.893967,-1.493148,2,1,,SP32_34,1/4/2018,126.1,23,Inferior Oolite,http://environment.data.gov.uk/hydrology/id/measures/1b59ba50-097b-4575-b29a-16cff6c9b69e-gw-dipped-i-mAOD-qualified,,316,3/7/1985,1/25/2024,,,,Moderately productive aquifer,Flow is virtually all through fractures and other discontinuities,125.6508789,8090.32223,Oolites
2848,,Leiston,fed0858c-1659-491d-a8f6-7dfc5584b9bf,646118,259734,52.180897,1.598682,1,1,,TM45_691,6/12/2012,2.92,,,http://environment.data.gov.uk/hydrology/id/measures/fed0858c-1659-491d-a8f6-7dfc5584b9bf-gw-dipped-i-mAOD-qualified,,128,6/12/2012,9/5/2023,,,,Moderately productive aquifer,Significant intergranular flow,1.99055469,122333.6414,Crag
2849,Slow decreasing,Loath Hill,c811aa6c-5df2-4a61-9326-1e033a592b34,463215,354035,53.079796,-1.057764,1,1,,1814GW,9/9/1975,115.69,,,http://environment.data.gov.uk/hydrology/id/measures/c811aa6c-5df2-4a61-9326-1e033a592b34-gw-dipped-i-mAOD-qualified,,566,9/9/1975,1/12/2024,,,,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,111.960083,8839.062775,Triassic sandstones
2850,,Chute Standen,9868a20c-895d-4225-90ff-b1b0406e2e7e,430919,153705,51.281648,-1.558067,1,1,,141806395,3/1/1959,157.49,53,Seaford Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/9868a20c-895d-4225-90ff-b1b0406e2e7e-gw-dipped-i-mAOD-qualified,,107,3/1/1959,10/25/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,157.2188721,32907.13261,Chalk
2851,,North Wraxall,a9a7e561-e7ab-46d4-a5ba-ed995f20fa5e,381582,175991,51.482564,-2.266616,1,1,,90887201,6/24/2008,,,,http://environment.data.gov.uk/hydrology/id/measures/a9a7e561-e7ab-46d4-a5ba-ed995f20fa5e-gw-dipped-i-mAOD-qualified,,177,6/24/2008,1/3/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,132.5327606,4870.518917,Oolites
2852,,Windmill Cottage,a2baf7e2-9222-4204-b5fd-d1c712c974c0,440528,140391,51.161336,-1.421803,1,1,,141805341,10/13/1967,56.36,11.6,Newhaven Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/a2baf7e2-9222-4204-b5fd-d1c712c974c0-gw-dipped-i-mAOD-qualified,,110,10/13/1967,10/25/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,55.65233231,33648.49297,Chalk
2853,No trend,Oakhill 1,e4914c7b-4b44-4b6b-a89b-03c1bec70212,365650,147870,51.228973,-2.493316,1,1,,90764337,2/5/1974,,,,http://environment.data.gov.uk/hydrology/id/measures/e4914c7b-4b44-4b6b-a89b-03c1bec70212-gw-dipped-i-mAOD-qualified,,533,2/5/1974,1/22/2024,,,,Moderately productive aquifer,Flow is virtually all through fractures and other discontinuities,160.5161438,2592.369785,Carboniferous Limestones
2854,,Undergreen Hill,cf487c7c-1bba-4b62-aa42-396321e09248,391064,649153,55.735669,-2.143864,1,1,,21-0-136,1/24/1992,,,,http://environment.data.gov.uk/hydrology/id/measures/cf487c7c-1bba-4b62-aa42-396321e09248-gw-dipped-i-mAOD-qualified,,578,1/24/1992,1/12/2024,,,,Moderately productive aquifer,Flow is virtually all through fractures and other discontinuities,8.583436966,6531.221556,#N/A
2855,Slow decreasing,Field Farm,b5c2763b-7c5a-4af0-a69c-2389793bc549,551342,245280,52.08518,0.207384,1,1,,TL54_011,8/15/1963,71.91,,,http://environment.data.gov.uk/hydrology/id/measures/b5c2763b-7c5a-4af0-a69c-2389793bc549-gw-dipped-i-mAOD-qualified,,666,8/15/1963,1/4/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,72.47827911,55955.43531,Chalk
2856,,Cofton Cross,4e1b8a84-86f6-463e-af95-2e38ca890b70,296794,80340,50.61361,-3.460067,1,1,,SX98G060,4/22/1991,8.46,,,,http://environment.data.gov.uk/hydrology/id/measures/4e1b8a84-86f6-463e-af95-2e38ca890b70-gw-logged-i-subdaily-mAOD-qualified,,,,867367,4/22/1991,2/27/2024,Moderately productive aquifer,Significant intergranular flow,5.266448975,8378.686584,Permian Sandstones
2857,,Idsworth Farm,14fe6ddb-086f-439c-8e86-8ea2dbc65c6a,474828,114319,50.923482,-0.936745,1,1,,143701262,1/22/1964,63.76,42.7,Newhaven Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/14fe6ddb-086f-439c-8e86-8ea2dbc65c6a-gw-dipped-i-mAOD-qualified,,276,1/22/1964,10/24/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,63.88713074,28810.20814,Chalk
2858,,Glebe Cottage Ashe,c2c04f2a-8d2f-41d5-8bc0-7b53ac1095f9,453483,149930,51.24604,-1.235137,1,1,,141801101,10/26/1966,97.29,10.5,Chalk Group (undivided),http://environment.data.gov.uk/hydrology/id/measures/c2c04f2a-8d2f-41d5-8bc0-7b53ac1095f9-gw-dipped-i-mAOD-qualified,,107,10/26/1966,10/20/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,97.1505127,33682.09157,Chalk
2859,Slow increasing,Watersend,c1f235ed-3f88-4213-a944-f093ec099f5b,627540,144953,51.158554,1.252721,1,1,,644018052,6/30/1995,48.02,,,,http://environment.data.gov.uk/hydrology/id/measures/c1f235ed-3f88-4213-a944-f093ec099f5b-gw-logged-i-subdaily-mAOD-qualified,,,,218697,6/30/1995,6/10/2020,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,47.44054794,36368.8203,Chalk
2860,No trend,Whitehouse,2ea5ade7-2ef4-405e-ae2f-a025e1262648,448875,171415,51.439624,-1.298207,1,1,,SU47_47,4/17/1964,104.67,24,Chalk,http://environment.data.gov.uk/hydrology/id/measures/2ea5ade7-2ef4-405e-ae2f-a025e1262648-gw-dipped-i-mAOD-qualified,,1960,4/17/1964,1/22/2024,,,,Low productivity aquifer,Significant intergranular flow,103.97435,25375.07881,Chalk
2861,No trend,Church Road Little Thurlow,ac3cfe10-9bef-40cc-88d4-41ef8380824f,568002,251200,52.133554,0.45322,1,1,,TL65_811,1/18/1993,69.68,,,http://environment.data.gov.uk/hydrology/id/measures/ac3cfe10-9bef-40cc-88d4-41ef8380824f-gw-dipped-i-mAOD-qualified,,291,1/18/1993,1/16/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,69.0011673,63408.79157,Lower Greensand
2862,No trend,Long Plantation Rushford,bda6ab29-d0bb-475d-9e30-b05436d7bee3,593419,281203,52.394655,0.841302,1,1,,TL98_149,12/30/1982,22.96,,,http://environment.data.gov.uk/hydrology/id/measures/bda6ab29-d0bb-475d-9e30-b05436d7bee3-gw-dipped-i-mAOD-qualified,,420,12/30/1982,11/13/2020,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,21.45855331,68163.44072,Chalk
2863,,London Fields,3959ee5f-401e-4e04-9d19-e0dcda3046b1,534702,184259,51.541158,-0.059015,1,1,,TQ38_464,7/18/1975,18.87,81.5,Chalk,http://environment.data.gov.uk/hydrology/id/measures/3959ee5f-401e-4e04-9d19-e0dcda3046b1-gw-dipped-i-mAOD-qualified,,587,7/18/1975,11/14/2023,,,,Rocks with essentially no groundwater,,19.01404762,7242.008745,Chalk
2864,Slow increasing,Hay Farm,7d42c857-611e-4766-8a61-bcdc5f28248a,533880,237100,52.016174,-0.050501,1,1,,TL33_67,4/14/1999,157.64,125.5,Chalk,http://environment.data.gov.uk/hydrology/id/measures/7d42c857-611e-4766-8a61-bcdc5f28248a-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/7d42c857-611e-4766-8a61-bcdc5f28248a-gw-logged-i-subdaily-mAOD-qualified,241,4/14/1999,8/1/2022,163067,8/1/2005,3/14/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,157.3536987,46215.98926,Chalk
2865,Slow increasing,Musseldean Copse,6214bec5-df15-4e58-80c3-bc56ec04f9e1,390610,136320,51.126078,-2.13555,1,1,,90193106,4/17/2003,,,,,http://environment.data.gov.uk/hydrology/id/measures/6214bec5-df15-4e58-80c3-bc56ec04f9e1-gw-logged-i-subdaily-mAOD-qualified,,,,682938,4/17/2003,3/14/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,216.3614044,5310.664838,Chalk
2866,Sudden downward change,Heath Barn,0b065184-ce80-4e46-a9e8-4ab5c29cd118,385665,282125,52.436898,-2.212284,1,1,,0164GW,11/1/1976,57.64,,,http://environment.data.gov.uk/hydrology/id/measures/0b065184-ce80-4e46-a9e8-4ab5c29cd118-gw-dipped-i-mAOD-qualified,,711,11/1/1976,4/19/2022,,,,Highly productive aquifer,Significant intergranular flow,57.98479462,1800.166755,Permian Sandstones
2867,,Lund Village Green,4b1c4b25-e116-4c71-84c2-8a3eb62c00c7,497021,448091,53.919869,-0.524191,1,1,,SE94LVG0CC,5/20/1980,40.15,,CC,http://environment.data.gov.uk/hydrology/id/measures/4b1c4b25-e116-4c71-84c2-8a3eb62c00c7-gw-dipped-i-mAOD-qualified,,447,5/20/1980,1/17/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,39.78593445,10990.84184,Chalk
2868,,Hollycroft Drift,8a2a6401-5da5-4fc6-9402-347a2ff851ff,504379,437457,53.822901,-0.415815,1,1,,TA03HYC0RD,11/6/1980,7.35,,RD,http://environment.data.gov.uk/hydrology/id/measures/8a2a6401-5da5-4fc6-9402-347a2ff851ff-gw-dipped-i-mAOD-qualified,,476,11/6/1980,12/20/2022,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,6.840507507,11194.4206,Chalk
2869,Slow increasing,Aycliffe 2,4854b5ee-e107-4516-bf2e-51ceb6371ec7,426957,525157,54.620829,-1.584037,1,1,,25-3-41,6/26/1968,,,,http://environment.data.gov.uk/hydrology/id/measures/4854b5ee-e107-4516-bf2e-51ceb6371ec7-gw-dipped-i-mAOD-qualified,,610,6/26/1968,1/22/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,89.35303497,3298.948517,Magnesian Limestone
